交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
1120215,3151,大鯊【凍】,桃園,61.0,53.0,35.0,240.0,50.0
1120215,3157,水鯊凍,高雄,30.0,30.0,29.1,6346.0,29.8
1120215,3161,魷魚(凍),苗栗,70.0,0.0,0.0,96.0,70.0
1120215,3161,魷魚(凍),新竹,100.0,0.0,0.0,25.0,100.0
1120215,3169,章魚(凍),台中,0.0,197.5,0.0,46.0,197.5
1120215,3261,肉魚(凍),苗栗,130.0,125.0,120.0,32.0,122.5
1120215,3321,油魚(凍),高雄,100.0,80.3,50.7,7942.0,78.3
1120215,3341,（日本）白帶魚凍,斗南,74.0,72.7,72.0,50.0,72.8
1120215,3481,英哥凍,台北,0.0,150.0,0.0,2.5,150.0
1120215,3521,秋刀(凍),新竹,82.0,81.2,80.0,199.3,81.1
1120215,3572,剝皮魚去頭【凍】,彰化,251.0,250.0,250.0,60.0,250.3
1120215,3781,鮭魚(凍),台北,0.0,100.0,0.0,900.0,100.0
1120215,3781,鮭魚(凍),新營,280.0,280.0,280.0,27.8,280.0
1120215,3782,鮭魚頭/尾凍,新竹,0.0,88.0,0.0,60.0,88.0
1120215,4011,草蝦海,彰化,916.0,906.0,899.0,10.4,906.3
1120215,4015,白蝦,台中,0.0,230.0,0.0,520.0,230.0
1120215,4015,白蝦,岡山,251.8,223.1,188.1,149.9,221.8
1120215,4509,其他蝦類,埔心,411.4,303.5,100.0,94.2,284.4
1120215,4509,其他蝦類,新竹,120.0,115.7,98.3,300.0,115.7
1120215,4513,三點仔,斗南,188.0,182.9,161.9,96.0,179.7
1120215,4522,市仔管,台北,0.0,250.0,0.0,3.3,250.0
1120215,4999,其他蟹類,新竹,0.0,5.0,0.0,0.6,5.0
1120215,5012,牡蠣養,佳里,10.0,10.0,10.0,33.0,10.0
1120215,5888,海瓜子,岡山,150.0,150.0,150.0,24.8,150.0
1120215,5888,海瓜子,桃園,0.0,150.0,0.0,60.0,150.0
1120215,5999,其他貝類,澎湖,380.0,380.0,380.0,10.7,380.0
1120215,6010,鮭魚片,苗栗,410.0,0.0,0.0,24.0,410.0
1120215,6010,鮭魚片,埔心,386.9,309.7,226.0,322.2,307.5
1120215,6021,鹹魚,佳里,170.0,170.0,170.0,24.0,170.0
1120215,6049,其他加工,斗南,183.6,103.7,63.2,253.5,111.6
1120215,6050,熟卷,台中,322.5,285.0,190.3,582.0,278.7
1120215,6081,熟鯖魚,桃園,0.0,92.0,0.0,100.0,92.0
1120215,6101,海菜,埔心,20.0,19.5,19.0,190.0,19.5
1120215,6113,魚皮,苗栗,90.0,0.0,0.0,25.0,90.0
1120215,1011,吳郭魚,岡山,65.6,54.5,38.5,3704.0,53.5
1120215,1011,吳郭魚,桃園,68.0,65.3,48.4,1517.9,57.2
1120215,1011,吳郭魚,新營,89.7,47.1,22.1,117.7,50.6
1120215,1022,鯽魚,台北,117.7,53.3,39.5,435.0,63.4
1120215,1023,草魚,三重,110.0,110.0,110.0,12.7,110.0
1120215,1023,草魚,台北,116.0,104.6,100.0,116.0,106.0
1120215,1024,大頭鰱,桃園,70.0,60.0,0.0,137.2,66.4
1120215,1041,虱目魚,三重,125.4,110.3,86.1,6219.2,91.4
1120215,1041,虱目魚,埔心,123.2,110.2,98.7,1230.1,110.5
1120215,1041,虱目魚,桃園,128.3,109.6,95.9,455.8,113.3
1120215,1051,烏仔魚,台北,45.1,29.7,28.0,230.3,32.4
1120215,1061,豆仔,台北,40.0,31.1,30.0,46.5,32.7
1120215,1061,豆仔,新營,139.8,138.2,138.0,36.8,138.5
1120215,1071,金目鱸,斗南,150.2,111.2,92.5,688.4,115.3
1120215,1071,金目鱸,嘉義,160.5,107.7,89.2,2745.9,114.6
